Amount reserved for voluntary CEIS in 
SY 2016-17 ($)","Voluntary CEIS
Percent taken for voluntary CEIS during 
SY 2016-17 (%)","Total number of children receiving CEIS under the IDEA in the LEA/ESA during 
2016,Alabama,Huntsville City,,0101800,2014-15,4751695,5045295,293600,111691,5156986,773547.9,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Jackson County,,0101830,2014-15,1189804,1168583,-21221,29495,1198078,179711.7,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Jacksonville City,,0101860,2014-15,332142,337908,5766,7909,345817,51872.55,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Jasper City,,0101890,2014-15,576166,583928,7762,19626,603554,90533.1,2,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Jefferson County,,0101920,2014-15,8438488,8505984,67496,213206,8719190,1307878.5,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Lamar County,,0101950,2014-15,511274,504868,-6406,24429,529297,79394.55,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Lanett City,,0101980,2014-15,242036,232659,-9377,10560,243219,36482.85,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Lauderdale County,,0102010,2014-15,1705391,1715818,10427,35249,1751067,262660.05,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Lawrence County,,0102040,2014-15,1180276,1160106,-20170,51139,1211245,181686.75,2,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Lee County,,0102070,2014-15,1976414,1944249,-32165,56696,2000945,300141.75,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
